Contact_name,ph_no,Address,Latitude,Longitude,Zone,Speciality,Locality,Contact_id,Segment,Contact_email,customer_id_x,referrals_count,visit_count,current_status,customer_id_y,days_since_last_visit,customer_id,visit_count_last_90,rule_score,catboost_score,priority_score
Urban Primary Health Centre Ognaj,,"Ognaj - Gota Rd, Vasant Nagar, Ognaj, Ahmedabad, Gujarat 380060",23.11259,72.51556,WEST,Primary Care,Ognaj,CONT_AHD_029,Peripheral Supporter,,CONT_AHD_029,36,47,Champion,CONT_AHD_029,19.0,CONT_AHD_029,4.0,2,2.054439844580449,2.0272199222902243
Sukan Hospital,+91 98250 35748,"201, 2nd Floor, Shayona Plaza, Near Shayona City, Gota, Ahmedabad, Gujarat 382481",23.09345,72.54688,WEST,General Medicine,Gota,CONT_AHD_037,Silent Referrer,,CONT_AHD_037,29,26,Champion,CONT_AHD_037,49.0,CONT_AHD_037,6.0,2,2.011385551988337,2.0056927759941683
Aagam Nursing Home Care,+91 70463 21724,"chamunda apt, 14/160, Ognaj - Gota Rd, nr. vasant nagar township, G.H, Ognaj, Ahmedabad, Gujarat 380060",23.10997,72.52037,WEST,Nursing Home,Ognaj,CONT_AHD_030,Silent Referrer,,CONT_AHD_030,15,7,Champion,CONT_AHD_030,19.0,CONT_AHD_030,3.0,2,2.0074469927774423,2.003723496388721
Samata Multi-speciality Hospital,+91 74050 01575,"2nd Floor, Silver Star Complex Gota, Chandlodiya Rd, Chandlodiya, Ahmedabad, Gujarat 382481",23.08279,72.54683,WEST,Multi-Specialty,Chandlodiya,CONT_AHD_023,Peripheral Supporter,,CONT_AHD_023,19,34,Champion,CONT_AHD_023,19.0,CONT_AHD_023,5.0,2,1.9959336995925452,1.9979668497962726
Shreeji Hospital Ranip,+91 97250 88776,"1st Floor, Balaji Complex, Nirnaynagar, Ranip, Ahmedabad, Gujarat 382480",23.0765,72.5698,WEST,General Medicine,Ranip,CONT_AHD_078,Peripheral Supporter,,CONT_AHD_078,18,5,Champion,CONT_AHD_078,19.0,CONT_AHD_078,8.0,2,1.9651423401072172,1.9825711700536086
Param Multispeciality,+91 96875 17182,"Jayshakti Society, 5-6, Janta Nagar Rd, Ghatlodiya, Ahmedabad, Gujarat 380061",23.06853,72.53657,WEST,Multi-Specialty,Ghatlodiya,CONT_AHD_008,Peripheral Supporter,,CONT_AHD_008,22,6,Champion,CONT_AHD_008,49.0,CONT_AHD_008,3.0,2,1.9361079763251388,1.9680539881625694
Pujan Hospital,+91 79 2760 1234,"1st Floor, Shayona Arcade, Chandlodiya Road, Chandlodiya, Ahmedabad, Gujarat 382481",23.084,72.5455,WEST,Gynecology,Chandlodiya,CONT_AHD_045,Silent Referrer,,CONT_AHD_045,17,10,Champion,CONT_AHD_045,49.0,CONT_AHD_045,3.0,2,1.884059018918001,1.9420295094590005
Amulakh Hospital,+91 79 2644 2233,"Near Commerce Six Road, Navrangpura, Ahmedabad, Gujarat 380009",23.0385,72.5608,WEST,General Medicine,Commerce Six Road,CONT_AHD_063,Silent Referrer,,CONT_AHD_063,37,5,Champion,CONT_AHD_063,19.0,CONT_AHD_063,5.0,2,1.877719568853518,1.938859784426759
Sanjivani Clinic,+91 95101 96406,"1, Bhagawati Nagar, near Vadvada Chowk, Vasantnagar Twp, Vasant Nagar, Ognaj, Ahmedabad, Gujarat 380060",23.11018,72.52445,WEST,General Medicine,Ognaj,CONT_AHD_028,Peripheral Supporter,,CONT_AHD_028,33,16,Champion,CONT_AHD_028,19.0,CONT_AHD_028,4.0,2,1.8562250414383898,1.928112520719195
Viral Multi Super Speciality Hospital,+91 99788 05500,"Viral Multi-Super Speciality Hospital, Prabhat Chowk, opposite ADC bank, near Nutan English Medium School, Ghatlodiya, Ahmedabad, Gujarat 380061",23.06863,72.5423,WEST,Multi-Specialty,Ghatlodiya,CONT_AHD_006,Key Influencer,,CONT_AHD_006,16,3,Champion,CONT_AHD_006,19.0,CONT_AHD_006,8.0,0,0.3262001394036007,0.16310006970180035
KD Blossom,+91 79 6677 0000,"Vaishnodevi Circle, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 382501",23.13574,72.5416,WEST,Multi-Specialty,Vaishnodevi,CONT_AHD_019,Key Influencer,,CONT_AHD_019,32,6,Champion,CONT_AHD_019,19.0,CONT_AHD_019,11.0,0,0.13662378022085342,0.06831189011042671
Marengo CIMS Hospital,+91 1800 309 9999,"Off, Science City Rd, Panchamrut Bunglows II, Sola, Ahmedabad, Gujarat 380060",23.07023,72.51691,WEST,Multi-Specialty,Science City,CONT_AHD_011,Key Influencer,,CONT_AHD_011,29,41,Champion,CONT_AHD_011,19.0,CONT_AHD_011,1.0,0,0.1267814237078424,0.0633907118539212
SHIVANTA MULTISPECIALITY HOSPITAL,+91 75674 65000,"2nd floor, Aaryan Eureka, circle, Vandemataram Rd, near vandematram arcade, above La Milano Pizza, Gota, Ahmedabad, Gujarat 382481",23.09677,72.54813,WEST,Multi-Specialty,Gota,CONT_AHD_001,Growth Catalyst,,CONT_AHD_001,27,4,Champion,CONT_AHD_001,49.0,CONT_AHD_001,5.0,0,0.07574391402380076,0.03787195701190038
Stavya Spine Hospital,+91 79 2755 7788,"Near Swaminarayan Museum, Naranpura - Vadaj Road, Vadaj, Ahmedabad, Gujarat 380013",23.0598,72.5592,WEST,Orthopedics,Vadaj,CONT_AHD_057,Growth Catalyst,info@stavya.com,CONT_AHD_057,20,11,Champion,CONT_AHD_057,49.0,CONT_AHD_057,2.0,0,-0.003493148577439875,-0.0017465742887199376
Saraswati Hospital,+91 2717 234 444,"Ambli Bopal Cross Road, Ahmedabad",23.028,72.458,WEST,Multi-Specialty,Bopal,CONT_AHD_REAL_268,Growth Catalyst,,CONT_AHD_REAL_268,23,18,Champion,CONT_AHD_REAL_268,49.0,CONT_AHD_REAL_268,2.0,0,-0.02009383391171138,-0.01004691695585569
Krishna Shalby Hospital,+91 99044 33369,"Ghuma, Via Bopal, Ahmedabad",23.02,72.44,WEST,Multi-Specialty,Ghuma,CONT_AHD_REAL_257,Growth Catalyst,,CONT_AHD_REAL_257,29,10,Champion,CONT_AHD_REAL_257,19.0,CONT_AHD_REAL_257,11.0,0,-0.054845316152843715,-0.027422658076421857
Jivraj Mehta Hospital,+91 79 2663 6363,"Jivraj Park, Lavanya, Ahmedabad",23.005,72.55,WEST,Multi-Specialty,Vasna,CONT_AHD_REAL_260,Growth Catalyst,,CONT_AHD_REAL_260,17,11,Champion,CONT_AHD_REAL_260,19.0,CONT_AHD_REAL_260,8.0,0,-0.07356696153956666,-0.03678348076978333
Samved Hospital,+91 79 2749 2200,"2nd Floor, Shanti Arcade, 132 Feet Ring Road, Naranpura, Ahmedabad, Gujarat 380013",23.05567,72.5489,WEST,Orthopedics,Naranpura,CONT_AHD_054,Growth Catalyst,info@samvedhospital.com,CONT_AHD_054,20,6,Champion,CONT_AHD_054,19.0,CONT_AHD_054,1.0,0,-0.11490216096241213,-0.05745108048120606
Gandhi Lincoln Hospital,+91 79 2755 8899,"Old Vadaj Circle, Ashram Road, Vadaj, Ahmedabad, Gujarat 380013",23.06345,72.56789,WEST,Multi-Specialty,Vadaj,CONT_AHD_056,Key Influencer,info@gandhilincoln.com,CONT_AHD_056,20,6,Champion,CONT_AHD_056,19.0,CONT_AHD_056,5.0,0,-0.12318895629587878,-0.06159447814793939
Phoenix Hospital,+91 90990 00080,"Sarvopalli Mall, Parul Nagar Society, Bhuyangdev Cross Road, Sola Rd, Vardhmannagar Society, Ghatlodiya, Parul Nagar Society, Ahmedabad, Gujarat 380061",23.05878,72.53783,WEST,Multi-Specialty,Ghatlodiya,CONT_AHD_010,Key Influencer,,CONT_AHD_010,27,7,Champion,CONT_AHD_010,19.0,CONT_AHD_010,3.0,0,-0.19540146739704944,-0.09770073369852472
