Contact_name,ph_no,Address,Latitude,Longitude,Zone,Speciality,Locality,Contact_id,Segment,Contact_email
Devasyam Neonatal Hospital,+91 98989 12121,"Vastral Road, Vastral, Ahmedabad",23.002,72.646,East,Pediatrics,Vastral,CONT_AHD_REAL_242,Growth Catalyst,
Sharnam Multispeciality Hospital,+91 97277 88990,"Swaminarayan Park Cross Road, Vastral, Ahmedabad",23.006,72.65,East,Multi-Specialty,Vastral,CONT_AHD_REAL_243,Growth Catalyst,
Odhav Orthopaedic Hospital,+91 79 2287 2222,"Rajendra Park Road, Odhav, Ahmedabad",23.022,72.652,East,Orthopedics,Odhav,CONT_AHD_REAL_244,Growth Catalyst,
Star Hospital,+91 79 2277 3333,"Memco Bridge, Bapunagar, Ahmedabad",23.04,72.63,East,Multi-Specialty,Bapunagar,CONT_AHD_REAL_245,Growth Catalyst,
Samjuba Hospital,+91 79 2277 4444,"Bapunagar Road, Bapunagar, Ahmedabad",23.038,72.632,East,General,Bapunagar,CONT_AHD_REAL_246,Growth Catalyst,
Matru Hospital,+91 79 2277 5555,"Opp Ambajidham, Bapunagar, Ahmedabad",23.039,72.631,East,Maternity,Bapunagar,CONT_AHD_REAL_247,Growth Catalyst,
Shiv Jyoti Eye Hospital,+91 79 2277 6666,"India Colony Road, Bapunagar, Ahmedabad",23.041,72.633,East,Ophthalmology,Bapunagar,CONT_AHD_REAL_248,Growth Catalyst,
Narayana Multispeciality Hospital,+91 80 7122 2222,"Rakhial Cross Road, Rakhial, Ahmedabad",23.0224,72.6234,East,Multi-Specialty,Rakhial,CONT_AHD_REAL_249,Growth Catalyst,
GCS Medical College,+91 79 6604 8000,"Naroda Road, Chamunda Bridge, Ahmedabad",23.045,72.615,East,Medical College,Naroda Road,CONT_AHD_REAL_250,Growth Catalyst,
Shardaben General Hospital,+91 79 2292 2222,"Saraspur Cross Road, Saraspur, Ahmedabad",23.03,72.61,East,General,Saraspur,CONT_AHD_REAL_251,Growth Catalyst,
ESIC Model Hospital,+91 79 2277 7777,"Bapunagar, Ahmedabad",23.042,72.635,East,Government,Bapunagar,CONT_AHD_REAL_252,Growth Catalyst,
Kanba Hospital,+91 79 2287 8888,"Odhav, Ahmedabad",23.025,72.655,East,Multi-Specialty,Odhav,CONT_AHD_REAL_253,Growth Catalyst,
HCG Hospital,+91 79 4041 0101,"Mithakhali Six Road, Ellisbridge, Ahmedabad",23.03,72.56,West,Oncology,Ellisbridge,CONT_AHD_REAL_254,Growth Catalyst,
Marengo CIMS Hospital,+91 79 2771 2771,"Science City Road, Sola, Ahmedabad",23.07,72.52,West,Multi-Specialty,Sola,CONT_AHD_REAL_255,Growth Catalyst,
Shalby Hospital SG,+91 79 4020 3000,"SG Highway, Ramdevnagar, Ahmedabad",23.02,72.51,West,Orthopedics,Satellite,CONT_AHD_REAL_256,Growth Catalyst,
Krishna Shalby Hospital,+91 99044 33369,"Ghuma, Via Bopal, Ahmedabad",23.02,72.44,West,Multi-Specialty,Ghuma,CONT_AHD_REAL_257,Growth Catalyst,
Apollo Hospitals City Centre,+91 79 2665 1234,"Nr Parimal Crossing, Paldi, Ahmedabad",23.01,72.56,West,Multi-Specialty,Paldi,CONT_AHD_REAL_258,Growth Catalyst,
Bodyline Hospitals,+91 79 2662 2222,"Vikas Gruh Road, Paldi, Ahmedabad",23.012,72.558,West,Multi-Specialty,Paldi,CONT_AHD_REAL_259,Growth Catalyst,
Jivraj Mehta Hospital,+91 79 2663 6363,"Jivraj Park, Lavanya, Ahmedabad",23.005,72.55,West,Multi-Specialty,Vasna,CONT_AHD_REAL_260,Growth Catalyst,
Sanjivani Super Speciality,+91 79 2676 1111,"Nr Sunrise Park, Vastrapur, Ahmedabad",23.04,72.53,West,Multi-Specialty,Vastrapur,CONT_AHD_REAL_261,Growth Catalyst,
Sterling Hospital,+91 79 4001 1111,"Gurukul Road, Memnagar, Ahmedabad",23.05,72.52,West,Multi-Specialty,Memnagar,CONT_AHD_REAL_262,Growth Catalyst,
Zydus Hospital,+91 79 6619 0000,"Thaltej Hebatpur Road, Ahmedabad",23.06,72.51,West,Multi-Specialty,Thaltej,CONT_AHD_REAL_263,Growth Catalyst,
KD Hospital,+91 79 6677 0000,"Vaishno Devi Circle, SG Highway, Ahmedabad",23.1,72.53,West,Multi-Specialty,SG Highway,CONT_AHD_REAL_264,Growth Catalyst,
Life Care Hospital,+91 2717 232 323,"Nr Kabir Enclave, Bopal, Ahmedabad",23.03,72.46,West,Multi-Specialty,Bopal,CONT_AHD_REAL_265,Growth Catalyst,
Mamta Hospital,+91 2717 233 333,"Aarohi Arcade, Bopal, Ahmedabad",23.032,72.462,West,General,Bopal,CONT_AHD_REAL_266,Growth Catalyst,
Adwait Multispeciality Hospital,+91 81402 34111,"Bhavya Complex, Bopal, Ahmedabad",23.035,72.465,West,Multi-Specialty,Bopal,CONT_AHD_REAL_267,Growth Catalyst,
Saraswati Hospital,+91 2717 234 444,"Ambli Bopal Cross Road, Ahmedabad",23.028,72.458,West,Multi-Specialty,Bopal,CONT_AHD_REAL_268,Growth Catalyst,
Epic Hospital,+91 79 6815 5000,"Science City Road, Sola, Ahmedabad",23.075,72.525,West,Multi-Specialty,Sola,CONT_AHD_REAL_269,Growth Catalyst,
Civil Hospital Sola,+91 79 2766 1111,"Sola, SG Highway, Ahmedabad",23.08,72.52,West,Government,Sola,CONT_AHD_REAL_270,Growth Catalyst,
SVP Hospital,+91 79 2657 7656,"Ellisbridge, Ahmedabad",23.025,72.57,West,Government,Ellisbridge,CONT_AHD_REAL_271,Growth Catalyst,
